Query String,Sentence,Ambiguity Signature Class,Ground-Truth Contextual Target,Conflicting Classical Parse Output,SpaCy_Raw_Pred,SpaCy_CtxRel,SpaCy_Faith,SpaCy_AnsRel,SpaCy_Generated_Answer,Agentic_Raw_Pred,Agentic_CtxRel,Agentic_Faith,Agentic_AnsRel,Agentic_Generated_Answer,Quantum_Raw_Pred,Quantum_CtxRel,Quantum_Faith,Quantum_AnsRel,Quantum_Generated_Answer,QUANTUM_OUTPERFORMED_BOTH
What physical object made direct contact to dust the shelf?,The maid dusted the shelf with the torn sock worn over the feather duster.,SEIP,The torn sock.,The feather duster.,0,43.02995300292969,100.00001525878906,43.02995300292969,The feather duster.,0,43.02995300292969,100.00001525878906,43.02995300292969,The feather duster.,1,6.540386199951172,100.00001525878906,6.540386199951172,The torn sock.,True
What physical object made direct contact to cleave the bone?,The butcher cleaved the bone with the iron pan swung at the meat cleaver.,SEIP,The iron pan.,The meat cleaver.,0,39.78492736816406,100.0,39.78492736816406,The meat cleaver.,0,39.78492736816406,100.0,39.78492736816406,The meat cleaver.,1,25.523815155029297,99.99999237060547,25.523815155029297,The iron pan.,True
What physical object made direct contact to uncork the wine?,The sommelier uncorked the wine with the steel screw resting inside the corkscrew.,SEIP,The steel screw.,The corkscrew.,0,44.84158706665039,99.99998474121094,44.84158706665039,The corkscrew.,0,44.84158706665039,99.99998474121094,44.84158706665039,The corkscrew.,0,44.84158706665039,99.99998474121094,44.84158706665039,The corkscrew.,False
What physical object made direct contact to blow the whistle?,The referee blew the whistle with the latex glove holding the metal whistle.,SEIP,The latex glove.,The metal whistle.,0,64.45327758789062,100.0,64.45327758789062,The metal whistle.,0,64.45327758789062,100.0,64.45327758789062,The metal whistle.,1,16.393125534057617,100.0,16.393125534057617,The latex glove.,True
What physical object made direct contact to inspect the diamond?,The jeweler inspected the diamond with the glass bead resting inside the jeweler's loupe.,SEIP,The glass bead.,The jeweler's loupe.,0,40.94598388671875,100.0000228881836,40.94598388671875,The jeweler's loupe.,0,40.94598388671875,100.0000228881836,40.94598388671875,The jeweler's loupe.,0,40.94598388671875,100.0000228881836,40.94598388671875,The jeweler's loupe.,False
What physical object made direct contact to dust the blind?,The cleaner dusted the blind with the ripped shirt resting inside the feather duster.,SEIP,The ripped shirt.,The feather duster.,0,41.09183120727539,100.00001525878906,41.09183120727539,The feather duster.,0,41.09183120727539,100.00001525878906,41.09183120727539,The feather duster.,1,19.34568214416504,100.00001525878906,19.34568214416504,The ripped shirt.,True
What physical object made direct contact to crack the brick?,The mason cracked the brick with the iron weight swung at the masonry chisel.,SEIP,The iron weight.,The masonry chisel.,0,48.581634521484375,100.0000228881836,48.581634521484375,The masonry chisel.,0,48.581634521484375,100.0000228881836,48.581634521484375,The masonry chisel.,1,25.056039810180664,100.0,25.056039810180664,The iron weight.,True
What physical object made direct contact to glaze the pastry?,The baker glazed the pastry with the tissue paper wrapped around the pastry brush.,SEIP,The tissue paper.,The pastry brush.,0,63.7774658203125,99.9999771118164,63.7774658203125,The pastry brush.,0,63.7774658203125,99.9999771118164,63.7774658203125,The pastry brush.,1,30.616655349731445,100.0,30.616655349731445,The tissue paper.,True
What physical object made direct contact to pick the lock?,The thief picked the lock with the plastic comb attached to the lock pick.,Lexical Echo,The plastic comb.,The lock pick.,0,62.59130859375,100.0,62.59130859375,The lock pick.,0,62.59130859375,100.0,62.59130859375,The lock pick.,0,62.59130859375,100.0,62.59130859375,The lock pick.,False
What physical object made direct contact to deflect the bullet?,The soldier deflected the bullet with the wooden plank holding the bullet shield.,Lexical Echo,The wooden plank.,The bullet shield.,0,56.137420654296875,100.00001525878906,56.137420654296875,The bullet shield.,0,56.137420654296875,100.00001525878906,56.137420654296875,The bullet shield.,0,56.137420654296875,100.00001525878906,56.137420654296875,The bullet shield.,False
