Query_ID,Sentence,Unmitigated E(θ),Mitigated E(θ) (TREX),Probability Drift (ΔE),Unmitigated_Success,Mitigated_Success
Q_1,The old man the boat.,0.8597,0.8906,0.0309,1,1
Q_2,The complex houses married and single soldiers.,-0.8089,-0.8344,0.0255,1,1
Q_3,The prime number few.,0.8718,0.904,0.0322,1,1
Q_4,The blind lead the blind.,0.9418,0.9814,0.0396,1,1
Q_5,The fast run the marathon.,0.8013,0.826,0.0247,1,1
Q_6,The sick need the medicine.,0.8013,0.826,0.0247,1,1
Q_7,The young play the game.,0.9463,0.9864,0.0401,1,1
Q_8,The strong lift the weights.,0.8814,0.9146,0.0332,1,1
Q_9,The weak fear the storm.,0.7824,0.8051,0.0227,1,1
Q_10,The smart solve the puzzle.,0.8634,0.8947,0.0313,1,1
Q_11,The wise guide the youth.,0.7829,0.8057,0.0228,1,1
Q_12,The tall reach the top.,0.7827,0.8054,0.0227,1,1
Q_13,The swift win the race.,0.8394,0.8682,0.0288,1,1
Q_14,The elite control the market.,0.6669,0.6773,0.0104,0,0
Q_15,The dead haunt the castle.,0.682,0.694,0.012,0,0
Q_16,The hungry eat the bread.,0.775,0.7969,0.0219,1,1
Q_17,The rich fund the charity.,0.739,0.7571,0.0181,0,0
Q_18,The brave charge the enemy.,0.8451,0.8745,0.0294,1,1
Q_19,The poor lack the resources.,0.7474,0.7664,0.019,0,0
Q_20,The bold dare the impossible.,0.707,0.7217,0.0147,0,0
Q_21,The innocent suffer the consequences.,0.9373,0.9765,0.0392,1,1
Q_22,The guilty serve the sentence.,0.8019,0.8267,0.0248,1,1
Q_23,The free roam the plains.,0.8254,0.8527,0.0273,1,1
Q_24,The wild roam the forest.,0.706,0.7206,0.0146,0,0
Q_25,The very profoundly deeply and incredibly extraordinarily faithful pure aggressively and continuously cleanse the eternal soul.,0.7764,0.7985,0.0221,1,1
Q_26,The brave shield the innocent.,0.8289,0.8565,0.0276,1,1
Q_27,The strong force the issue.,0.7279,0.7448,0.0169,0,0
Q_28,The rich tax the poor.,0.8501,0.88,0.0299,1,1
Q_29,The poor budget their money.,0.7719,0.7935,0.0216,0,1
Q_30,The young mind their elders.,0.7967,0.8209,0.0242,1,1
Q_31,The beautiful model the clothes.,0.7719,0.7935,0.0216,0,1
Q_32,The smart trick the gullible.,0.9682,1.0,0.0318,1,1
Q_33,The bold risk their lives.,0.8189,0.8455,0.0266,1,1
Q_34,The fair judge the competition.,0.7354,0.7531,0.0177,0,0
Q_35,The evil curse their enemies.,0.8858,0.9195,0.0337,1,1
Q_36,The good benefit the most.,0.7223,0.7386,0.0163,0,0
Q_37,The cold weather the storm.,0.8367,0.8652,0.0285,1,1
Q_38,The present gifts the future.,0.6632,0.6732,0.01,0,0
Q_39,The loud voice their opinions.,0.7137,0.7291,0.0154,0,0
Q_40,The proud parade their achievements.,0.8357,0.8641,0.0284,1,1
Q_41,The weak yield the right of way.,0.8791,0.9121,0.033,1,1
Q_42,The sick nurse their wounds.,0.8337,0.8619,0.0282,1,1
Q_43,The healthy exercise their rights.,0.8107,0.8364,0.0257,1,1
Q_44,The tired rest their eyes.,0.7959,0.82,0.0241,1,1
Q_45,The innocent trust the stranger.,0.7017,0.7158,0.0141,0,0
Q_46,The guilty question the verdict.,0.7624,0.783,0.0206,0,0
Q_47,The dead return the favor.,0.7831,0.8059,0.0228,1,1
Q_48,The living experience the world.,0.9046,0.9403,0.0357,1,1
Q_49,The wealthy finance the operation.,0.8475,0.8771,0.0296,1,1
Q_50,The broke bust the safe.,0.679,0.6907,0.0117,0,0
Q_51,The successful triumph over adversity.,0.8459,0.8754,0.0295,1,1
Q_52,The lost search for meaning.,0.7892,0.8126,0.0234,1,1
Q_53,The found treasure the moment.,0.7658,0.7867,0.0209,0,1
Q_54,The hidden cache the weapons.,-0.8689,-0.9008,0.0319,1,1
Q_55,The known name the suspects.,0.9025,0.938,0.0355,1,1
Q_56,The secret code the message.,0.8945,0.9291,0.0346,1,1
Q_57,The open book the flights.,0.7529,0.7725,0.0196,0,0
Q_58,The closed door the reporters.,0.7953,0.8194,0.0241,1,1
Q_59,The early dawn a new day.,0.8465,0.876,0.0295,1,1
Q_60,The late delay the train.,0.898,0.933,0.035,1,1
Q_61,The prompt reply to the message.,0.7817,0.8043,0.0226,1,1
Q_62,The slow drag the heavy boxes.,0.8051,0.8302,0.0251,1,1
Q_63,The fast speed through the town.,0.7315,0.7488,0.0173,0,0
Q_64,The quick rush the gates.,0.7243,0.7408,0.0165,0,0
Q_65,The steady pace the runners.,0.885,0.9186,0.0336,1,1
Q_66,The erratic zigzag across the field.,0.9285,0.9667,0.0382,1,1
Q_67,The quiet silence the critics.,0.8142,0.8403,0.0261,1,1
Q_68,The silent mute the television.,0.9003,0.9355,0.0352,1,1
Q_69,The deafening blast the rock.,0.8489,0.8787,0.0298,1,1
Q_70,The invisible cloak their movements.,0.7684,0.7896,0.0212,0,1
Q_71,The visible display the products.,0.8489,0.8787,0.0298,1,1
Q_72,The bright flash the lights.,0.943,0.9828,0.0398,1,1
Q_73,The dull matte the surface.,0.8171,0.8435,0.0264,1,1
Q_74,The shiny gloss the cover.,0.9452,0.9852,0.04,1,1
Q_75,The rough scratch the surface.,0.6104,0.6148,0.0044,0,0
Q_76,The smooth plane the wood.,0.8858,0.9195,0.0337,1,1
Q_77,The hard stone the witches.,0.827,0.8544,0.0274,1,1
Q_78,The soft pad the walls.,0.7961,0.8203,0.0242,1,1
Q_79,The heavy weight the cargo.,0.8273,0.8548,0.0275,1,1
Q_80,The light feather their nests.,0.661,0.6708,0.0098,0,0
Q_81,The thick smoke the meat.,0.8024,0.8272,0.0248,1,1
Q_82,The thin slice the bread.,0.8486,0.8783,0.0297,1,1
Q_83,The fat grease the wheels.,0.9382,0.9775,0.0393,1,1
Q_84,The skinny diet for summer.,0.7785,0.8008,0.0223,1,1
Q_85,The strong arm the opposition.,0.7553,0.7751,0.0198,0,0
Q_86,The weak cave under pressure.,0.7799,0.8023,0.0224,1,1
Q_87,The flexible bend the rules.,0.8932,0.9277,0.0345,1,1
Q_88,The stiff board the windows.,0.8463,0.8758,0.0295,1,1
Q_89,The loose change the locks.,0.7776,0.7998,0.0222,1,1
Q_90,The tight seal the container.,0.8611,0.8922,0.0311,1,1
Q_91,The wet mop the floor.,0.8278,0.8553,0.0275,1,1
Q_92,The dry powder the wigs.,0.8975,0.9324,0.0349,1,1
Q_93,The hot fire the cannons.,0.7638,0.7845,0.0207,0,0
Q_94,The cold ice the drinks.,0.7938,0.8177,0.0239,1,1
Q_95,The warm heat the room.,0.7886,0.812,0.0234,1,1
Q_96,The cool chill the wine.,0.7029,0.7172,0.0143,0,0
Q_97,The sweet sugar the rim.,0.8437,0.8729,0.0292,1,1
Q_98,The sour lemon the fish.,0.8409,0.8698,0.0289,1,1
Q_99,The bitter gall the crowd.,0.8204,0.8471,0.0267,1,1
Q_100,The salty cure the meat.,0.8012,0.8259,0.0247,1,1
Q_101,The spicy pepper the stew.,0.7068,0.7215,0.0147,0,0
Q_102,The bland mash the potatoes.,0.7863,0.8094,0.0231,1,1
Q_103,The hungry wolf the food.,0.7926,0.8164,0.0238,1,1
Q_104,The thirsty drink the water.,0.7558,0.7757,0.0199,0,0
Q_105,The awake watch the stars.,0.8071,0.8324,0.0253,1,1
Q_106,The sick cough the phlegm.,0.8523,0.8824,0.0301,1,1
Q_107,The healthy walk the trail.,0.9709,1.0,0.0291,1,1
Q_108,The dead rot in the ground.,0.834,0.8622,0.0282,1,1
Q_109,The young spring into action.,0.8406,0.8695,0.0289,1,1
Q_110,The old age like wine.,0.814,0.8401,0.0261,1,1
Q_111,The mature ripen the cheese.,0.6665,0.6769,0.0104,0,0
Q_112,The innocent play the fool.,0.8179,0.8444,0.0265,1,1
Q_113,The guilty fear the police.,0.8248,0.852,0.0272,1,1
Q_114,The good help the needy.,1.0,1.0,0.0,1,1
Q_115,The evil sin without remorse.,0.8046,0.8297,0.0251,1,1
Q_116,The pure clean the temple.,0.8441,0.8734,0.0293,1,1
Q_117,The wicked scheme the plot.,0.8172,0.8436,0.0264,1,1
Q_118,The holy bless the children.,0.7265,0.7433,0.0168,0,0
Q_119,The profane curse the heavens.,0.9114,0.9478,0.0364,1,1
Q_120,The smart program the computers.,0.8802,0.9133,0.0331,1,1
Q_121,The dumb blunder the operation.,0.8833,0.9167,0.0334,1,1
Q_122,The wise counsel the king.,0.7472,0.7662,0.019,0,0
Q_123,The foolish joke about serious matters.,0.9322,0.9708,0.0386,1,1
Q_124,The clever trick the guards.,0.7079,0.7227,0.0148,0,0
Q_125,The slow crawl the distance.,0.8669,0.8986,0.0317,1,1
Q_126,The fast race the cars.,0.9952,1.0,0.0048,1,1
Q_127,The quick dart past the guards.,0.7408,0.7591,0.0183,0,0
Q_128,The lazy lounge on the sofa.,0.7747,0.7966,0.0219,1,1
Q_129,The active exercise their bodies.,0.828,0.8555,0.0275,1,1
Q_130,The brave brave the elements.,0.7797,0.8021,0.0224,1,1
Q_131,The cowardly cower in fear.,0.6959,0.7094,0.0135,0,0
Q_132,The bold face the music.,0.8255,0.8528,0.0273,1,1
Q_133,The timid shy away.,0.735,0.7527,0.0177,0,0
Q_134,The proud boast of their deeds.,0.8579,0.8886,0.0307,1,1
