Query_ID,Sentence,Unmitigated E(θ),Mitigated E(θ) (TREX),Probability Drift (ΔE)
Q_1,The old man the boat.,-0.9873,-1.0,0.0127
Q_2,The complex houses married and single soldiers.,-0.9443,-1.0,0.0557
Q_3,The prime number few.,-0.981,-1.0,0.019
Q_4,The blind lead the blind.,0.999,1.0,0.001
Q_5,The fast run the marathon.,0.9985,1.0,0.0015
Q_6,The sick need the medicine.,0.9966,1.0,0.0034
Q_7,The young play the game.,-0.9844,-1.0,0.0156
Q_8,The strong lift the weights.,-0.981,-1.0,0.019
Q_9,The weak fear the storm.,0.999,1.0,0.001
Q_10,The smart solve the puzzle.,0.9985,1.0,0.0015
Q_11,The wise guide the youth.,0.999,1.0,0.001
Q_12,The tall reach the top.,0.9966,1.0,0.0034
Q_13,The swift win the race.,-0.9839,-1.0,0.0161
Q_14,The elite control the market.,0.9956,1.0,0.0044
Q_15,The dead haunt the castle.,-0.9883,-1.0,0.0117
Q_16,The hungry eat the bread.,-0.9829,-1.0,0.0171
Q_17,The rich fund the charity.,-0.9814,-1.0,0.0186
Q_18,The brave charge the enemy.,0.9995,1.0,0.0005
Q_19,The poor lack the resources.,-0.9785,-1.0,0.0215
Q_20,The bold dare the impossible.,-0.9829,-1.0,0.0171
Q_21,The innocent suffer the consequences.,-0.9844,-1.0,0.0156
Q_22,The guilty serve the sentence.,-0.9824,-1.0,0.0176
Q_23,The free roam the plains.,0.9956,1.0,0.0044
Q_24,The wild roam the forest.,-0.9868,-1.0,0.0132
Q_25,The very profoundly deeply and incredibly extraordinarily faithful pure aggressively and continuously cleanse the eternal soul.,-0.8994,-0.9409,0.0415
Q_26,The horse raced past the barn fell.,-0.9414,-0.9982,0.0568
Q_27,The florist sent the flowers was pleased.,0.9575,0.9694,0.0119
Q_28,The student asked the question hesitated.,-0.9648,-0.9809,0.0161
Q_29,The suspect interrogated by the police confessed.,0.9756,1.0,0.0244
Q_30,The car driven past the house crashed.,-0.9526,-1.0,0.0474
Q_31,The athlete injured in the game cried.,-0.9438,-0.9987,0.0549
Q_32,The man bitten by the dog howled.,-0.9453,-1.0,0.0547
Q_33,The child pushed down the slide laughed.,0.9854,1.0,0.0146
Q_34,The woman painted by the artist smiled.,0.9761,1.0,0.0239
Q_35,The bird watched by the cat flew.,-0.9453,-1.0,0.0547
Q_36,The ship sailed across the sea sank.,-0.9473,-1.0,0.0527
Q_37,The letter mailed to the boss vanished.,-0.9448,-0.9982,0.0534
Q_38,The gold mined from the cave gleamed.,-0.9419,-1.0,0.0581
