Query String,Sentence,Ambiguity Signature Class,Ground-Truth Contextual Target,Conflicting Classical Parse Output,SpaCy_Raw_Pred,SpaCy_Acc,SpaCy_Prec,SpaCy_Rec,SpaCy_F1,SpaCy_MRR,SpaCy_NDCG10,SpaCy_CtxRel,SpaCy_Faith,SpaCy_AnsRel,Agentic_Raw_Pred,Agentic_Acc,Agentic_Prec,Agentic_Rec,Agentic_F1,Agentic_MRR,Agentic_NDCG10,Agentic_CtxRel,Agentic_Faith,Agentic_AnsRel,Quantum_Raw_Pred,Quantum_Acc,Quantum_Prec,Quantum_Rec,Quantum_F1,Quantum_MRR,Quantum_NDCG10,Quantum_CtxRel,Quantum_Faith,Quantum_AnsRel,QUANTUM_OUTPERFORMED_BOTH
What possessed the cracks?,We painted the wall with cracks.,Prepositional Attachment,The wall possessed the cracks.,The cracks were utilized as a painting tool.,0,0.0,0.0,0.0,0.0,0.5,0.6309297535714575,70.07540130615234,28.980770111083984,20.941308975219727,1,1.0,1.0,1.0,1.0,1.0,1.0,78.10177612304688,56.5135612487793,27.190759658813477,1,1.0,1.0,1.0,1.0,1.0,1.0,78.10177612304688,56.5135612487793,27.190759658813477,False
Who possessed the telescope?,The astronomer observed the star with the telescope.,Prepositional Attachment,The astronomer used the telescope to observe.,The star possessed the telescope.,0,0.0,0.0,0.0,0.0,0.5,0.6309297535714575,82.28857421875,65.02136993408203,40.86375427246094,0,0.5,1.0,0.5,0.6666666666666666,0.5,0.6309297535714575,82.28857421875,65.02136993408203,40.86375427246094,1,1.0,1.0,1.0,1.0,1.0,1.0,78.35877227783203,74.53018951416016,65.72541809082031,True
Who possessed the umbrella?,She hit the man with the umbrella.,Prepositional Attachment,She used the umbrella as a weapon.,The man being hit possessed the umbrella.,0,0.0,0.0,0.0,0.0,0.5,0.6309297535714575,74.57315826416016,100.00001525878906,74.57315826416016,0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.5,0.6309297535714575,74.57315826416016,100.00001525878906,74.57315826416016,1,1.0,1.0,1.0,1.0,1.0,1.0,68.20134735107422,29.382484436035156,24.0450439453125,True
Who possessed the stolen car?,The police arrested the thief with the stolen car.,Prepositional Attachment,The thief possessed the stolen car.,The police used the stolen car to make the arrest.,0,0.0,0.0,0.0,0.0,0.5,0.6309297535714575,71.52815246582031,47.12575149536133,44.0456657409668,1,0.5,1.0,0.5,0.6666666666666666,1.0,1.0,90.49111938476562,65.85408782958984,63.41409683227539,1,1.0,1.0,1.0,1.0,1.0,1.0,90.49111938476562,65.85408782958984,63.41409683227539,False
What possessed the thick bone?,The chef sliced the meat with the thick bone.,Prepositional Attachment,The meat contained the thick bone.,The bone was used as a slicing tool.,0,0.0,0.0,0.0,0.0,0.5,0.6309297535714575,65.77888488769531,52.9736213684082,35.16939163208008,1,0.6,1.0,0.6,0.75,1.0,1.0,75.60791778564453,59.080535888671875,34.11620330810547,1,1.0,1.0,1.0,1.0,1.0,1.0,75.60791778564453,59.080535888671875,34.11620330810547,False
What exactly fell?,The horse raced past the barn fell.,Reduced Relative Clause,The horse fell.,The barn fell.,0,0.0,0.0,0.0,0.0,0.5,0.6309297535714575,61.066593170166016,100.00001525878906,61.066593170166016,0,0.5,1.0,0.5,0.6666666666666666,0.5,0.6309297535714575,61.066593170166016,100.00001525878906,61.066593170166016,1,1.0,1.0,1.0,1.0,1.0,1.0,56.51478576660156,100.00001525878906,56.51478576660156,True
What exactly grows in the fields?,The cotton clothing is made of grows in the southern fields.,Reduced Relative Clause,The cotton grows in the fields.,The clothing grows in the fields.,0,0.0,0.0,0.0,0.0,0.5,0.6309297535714575,67.81683349609375,46.5815544128418,15.056970596313477,0,0.42857142857142855,1.0,0.42857142857142855,0.6,0.5,0.6309297535714575,67.81683349609375,46.5815544128418,15.056970596313477,1,1.0,1.0,1.0,1.0,1.0,1.0,64.15674591064453,59.89057922363281,23.78896713256836,True
What directly crashed the server?,The configuration the engineer applied crashed the server.,Reduced Relative Clause,The configuration crashed the server.,The engineer crashed the server.,0,0.0,0.0,0.0,0.0,0.5,0.6309297535714575,81.34477233886719,49.47930145263672,13.627254486083984,1,0.5,1.0,0.5,0.6666666666666666,1.0,1.0,69.82707977294922,49.24312210083008,27.023395538330078,1,1.0,1.0,1.0,1.0,1.0,1.0,69.82707977294922,49.24312210083008,27.023395538330078,False
Who exactly cried?,The boy told the story cried.,Reduced Relative Clause,The boy cried.,The story cried.,0,0.0,0.0,0.0,0.0,0.5,0.6309297535714575,64.23328399658203,100.0000228881836,64.23328399658203,0,0.4444444444444444,1.0,0.4444444444444444,0.6153846153846154,0.5,0.6309297535714575,64.23328399658203,100.0000228881836,64.23328399658203,1,1.0,1.0,1.0,1.0,1.0,1.0,58.34552764892578,53.84794616699219,16.1580753326416,True
Who or what left?,The student read the book left.,Reduced Relative Clause,The student left.,The book left.,0,0.0,0.0,0.0,0.0,0.5,0.6309297535714575,57.279659271240234,71.59246063232422,17.766359329223633,1,0.5,1.0,0.5,0.6666666666666666,1.0,1.0,50.5178108215332,100.0,50.5178108215332,1,1.0,1.0,1.0,1.0,1.0,1.0,50.5178108215332,100.0,50.5178108215332,False
What exactly is dangerous?,Flying planes can be dangerous.,Functional/Gerund Ambiguity,The act of piloting the planes is dangerous.,The physical planes themselves are dangerous.,0,0.0,0.0,0.0,0.0,0.5,0.6309297535714575,50.9063606262207,76.65129089355469,13.384652137756348,1,0.5454545454545454,1.0,0.5454545454545454,0.7058823529411765,1.0,1.0,51.892513275146484,71.74076080322266,20.727745056152344,1,1.0,1.0,1.0,1.0,1.0,1.0,51.892513275146484,71.74076080322266,20.727745056152344,False
What exactly is exhausting?,Visiting relatives can be exhausting.,Functional/Gerund Ambiguity,The act of going to visit the relatives is exhausting.,The relatives who are visiting are exhausting.,0,0.0,0.0,0.0,0.0,0.5,0.6309297535714575,47.055381774902344,83.40861511230469,8.934247970581055,1,0.5833333333333334,1.0,0.5833333333333334,0.7368421052631579,1.0,1.0,45.3533935546875,70.64886474609375,13.153541564941406,1,1.0,1.0,1.0,1.0,1.0,1.0,45.3533935546875,70.64886474609375,13.153541564941406,False
What exactly is deadly?,Hunting tigers can be deadly.,Functional/Gerund Ambiguity,The act of hunting the tigers is deadly.,The tigers that are hunting are deadly.,0,0.0,0.0,0.0,0.0,0.5,0.6309297535714575,48.30310821533203,62.05082702636719,12.522539138793945,1,0.6153846153846154,1.0,0.6153846153846154,0.7619047619047619,1.0,1.0,50.88977813720703,78.10372161865234,22.796405792236328,1,1.0,1.0,1.0,1.0,1.0,1.0,50.88977813720703,78.10372161865234,22.796405792236328,False
What exactly is beautiful?,Shooting stars can be beautiful.,Functional/Gerund Ambiguity,The meteors falling through the sky are beautiful.,The act of firing a weapon at stars is beautiful.,0,0.0,0.0,0.0,0.0,0.5,0.6309297535714575,31.65634536743164,83.72090148925781,6.861697196960449,0,0.5714285714285714,1.0,0.5714285714285714,0.7272727272727273,0.5,0.6309297535714575,31.65634536743164,83.72090148925781,6.861697196960449,1,1.0,1.0,1.0,1.0,1.0,1.0,37.16849136352539,87.14984893798828,10.954913139343262,True
