Query String,Sentence,Ambiguity Signature Class,Ground-Truth Contextual Target,Conflicting Classical Parse Output,SpaCy_Raw_Pred,SpaCy_Routed_Context,SpaCy_Generated_Answer,SpaCy_CtxRel,SpaCy_Faith,SpaCy_AnsRel,Agentic_Raw_Pred,Agentic_Routed_Context,Agentic_Generated_Answer,Agentic_CtxRel,Agentic_Faith,Agentic_AnsRel,Quantum_Raw_Pred,Quantum_Routed_Context,Quantum_Generated_Answer,Quantum_CtxRel,Quantum_Faith,Quantum_AnsRel,Quantum_Outperformed_SpaCy,Quantum_Outperformed_Agentic,VIOLA_MOMENT
Who is performing the action on the boat?,The old man the boat.,Garden Path,The old are performing the action is the target for: who is performing the action on the boat?,man..,0,man..,The man is performing the action on the boat.,9.990766525268556,6.32407808303833,67.2642593383789,1,The old are performing the action is the target for: who is performing the action on the boat?,The old are performing the action is the target for: the old.,82.89384460449219,73.87227630615234,40.73960113525391,1,The old are performing the action is the target for: who is performing the action on the boat?,The old are performing the action is the target for: the old.,82.89384460449219,73.87227630615234,40.73960113525391,True,False,False
What accommodates the soldiers?,The complex houses married and single soldiers.,Garden Path,The complex accommodates them.,The complex houses.,0,The complex houses.,The complex houses.,20.905014038085938,99.99998474121094,20.905014038085938,1,The complex accommodates them.,The complex.,41.36493682861328,68.53302764892578,15.48353385925293,0,The complex houses.,The complex houses.,20.905014038085938,99.99998474121094,20.905014038085938,False,False,False
What acts as the subject of the sentence?,The prime number few.,Garden Path,The prime acts as the subject.,The prime number.,0,The prime number.,The prime number.,17.48285675048828,100.00001525878906,17.48285675048828,1,The prime acts as the subject.,The prime acts as the subject of the sentence.,54.02108001708984,89.61541748046875,72.02212524414062,1,The prime acts as the subject.,The prime acts as the subject of the sentence.,54.02108001708984,89.61541748046875,72.02212524414062,True,False,False
Who is performing the leading?,The blind lead the blind.,Garden Path,The blind is the target for: who is performing the leading?,lead..,1,The blind is the target for: who is performing the leading?,The blind is the target for: who is performing the leading?,59.8729362487793,100.00001525878906,59.8729362487793,1,The blind is the target for: who is performing the leading?,The blind is the target for: who is performing the leading?,59.8729362487793,100.00001525878906,59.8729362487793,1,The blind is the target for: who is performing the leading?,The blind is the target for: who is performing the leading?,59.8729362487793,100.00001525878906,59.8729362487793,False,False,False
Who is running the marathon?,The fast run the marathon.,Garden Path,The fast.,The fast run.,0,The fast run.,The fast run.,59.04961395263672,99.99999237060548,59.04961395263672,0,The fast run.,The fast run.,59.04961395263672,99.99999237060548,59.04961395263672,1,The fast.,The fast.,36.61203002929688,100.0,36.61203002929688,True,True,True
Who requires the medicine?,The sick need the medicine.,Garden Path,The sick.,The sick need.,0,The sick need.,The sick require the medicine.,41.95471954345703,76.9439697265625,71.19589233398438,0,The sick need.,The sick require the medicine.,41.95471954345703,76.9439697265625,71.19589233398438,1,The sick.,The sick.,32.52079391479492,100.0,32.52079391479492,True,True,True
Who is playing the game?,The young play the game.,Garden Path,The young is the target for: who is playing the game?,play..,1,The young is the target for: who is playing the game?,The young is the target for: the player.,68.55482482910156,86.0488052368164,39.73380279541016,1,The young is the target for: who is playing the game?,The young is the target for: the player.,68.55482482910156,86.0488052368164,39.73380279541016,1,The young is the target for: who is playing the game?,The young is the target for: the player.,68.55482482910156,86.0488052368164,39.73380279541016,False,False,False
Who is lifting the weights?,The strong lift the weights.,Garden Path,The strong.,The strong lift.,0,The strong lift.,The strong lift.,65.99732971191406,100.00001525878906,65.99732971191406,0,The strong lift.,The strong lift.,65.99732971191406,100.00001525878906,65.99732971191406,1,The strong.,The strong.,42.09280776977539,100.0,42.09280776977539,True,True,True
Who is afraid of the storm?,The weak fear the storm.,Garden Path,The weak.,The weak fear.,0,The weak fear.,The weak fear.,51.10300827026367,100.0000228881836,51.10300827026367,0,The weak fear.,The weak fear.,51.10300827026367,100.0000228881836,51.10300827026367,1,The weak.,The weak.,28.19972038269043,100.00001525878906,28.19972038269043,True,True,True
Who is solving the puzzle?,The smart solve the puzzle.,Garden Path,The smart is the target for: who is solving the puzzle?,solve..,1,The smart is the target for: who is solving the puzzle?,The smart is the target for: the smart is.,70.51139831542969,73.319580078125,18.72970390319824,1,The smart is the target for: who is solving the puzzle?,The smart is the target for: the smart is solving the puzzle.,70.51139831542969,90.2704086303711,48.37964630126953,1,The smart is the target for: who is solving the puzzle?,The smart is the target for: the smart.,70.51139831542969,74.84247589111328,18.97736549377441,False,False,False
