Query_ID,Sentence,E(θ) 1x Noise,E(θ) 3x Noise,E(θ) 5x Noise,ZNE Limit (0x Noise)
Q_1,The old man the boat.,0.9951,0.9922,0.9897,0.9966
Q_2,The complex houses married and single soldiers.,-0.9585,-0.9438,-0.9395,-0.9658
Q_3,The prime number few.,-0.9834,-0.9692,-0.9507,-0.9905
Q_4,The blind lead the blind.,-0.98,-0.9717,-0.9736,-0.9841
Q_5,The fast run the marathon.,-0.979,-0.9731,-0.9702,-0.9819
Q_6,The sick need the medicine.,-0.9722,-0.9741,-0.9619,-0.9712
Q_7,The young play the game.,-0.9736,-0.9722,-0.9673,-0.9744
Q_8,The strong lift the weights.,0.9897,0.9878,0.9849,0.9907
Q_9,The weak fear the storm.,-0.9795,-0.9717,-0.9609,-0.9834
Q_10,The smart solve the puzzle.,0.9893,0.9907,0.9814,0.9885
Q_11,The wise guide the youth.,0.9961,0.9893,0.9834,0.9995
Q_12,The tall reach the top.,-0.9824,-0.9727,-0.9653,-0.9873
Q_13,The swift win the race.,-0.9775,-0.979,-0.9653,-0.9768
Q_14,The elite control the market.,-0.9824,-0.9731,-0.9741,-0.9871
Q_15,The dead haunt the castle.,-0.9839,-0.9746,-0.9556,-0.9885
Q_16,The hungry eat the bread.,0.9927,0.9878,0.9824,0.9951
Q_17,The rich fund the charity.,-0.9844,-0.9771,-0.9736,-0.988
Q_18,The brave charge the enemy.,-0.9844,-0.978,-0.9585,-0.9875
Q_19,The poor lack the resources.,-0.979,-0.9731,-0.9692,-0.9819
Q_20,The bold dare the impossible.,-0.9805,-0.9731,-0.9692,-0.9841
Q_21,The innocent suffer the consequences.,-0.9829,-0.9746,-0.9663,-0.9871
Q_22,The guilty serve the sentence.,-0.98,-0.981,-0.9702,-0.9795
Q_23,The free roam the plains.,0.9897,0.9907,0.9868,0.9893
Q_24,The wild roam the forest.,-0.9824,-0.9678,-0.9658,-0.9897
Q_25,The very profoundly deeply and incredibly extraordinarily faithful pure aggressively and continuously cleanse the eternal soul.,-0.939,-0.9307,-0.9141,-0.9431
Q_26,The horse raced past the barn fell.,0.9609,0.9438,0.9521,0.9695
Q_27,The florist sent the flowers was pleased.,-0.9609,-0.9521,-0.9365,-0.9653
Q_28,The student asked the question hesitated.,-0.9546,-0.8979,-0.9102,-0.9829
