Query_ID,Sentence,Unmitigated E(θ),Mitigated E(θ) (TREX),Probability Drift (ΔE)
Q_1,The old man the boat.,-0.9653,-1.0,0.0347
Q_2,The complex houses married and single soldiers.,-0.3276,-0.3301,0.0025
Q_3,The prime number few.,-0.9771,-1.0,0.0229
Q_4,The blind lead the blind.,-0.542,-0.5811,0.0391
Q_5,The fast run the marathon.,-0.7871,-0.8596,0.0725
Q_6,The sick need the medicine.,0.9038,0.9659,0.0621
Q_7,The young play the game.,0.0483,0.0382,0.0101
Q_8,The strong lift the weights.,-0.0342,-0.0508,0.0166
Q_9,The weak fear the storm.,0.9438,1.0,0.0562
Q_10,The smart solve the puzzle.,0.9565,1.0,0.0435
Q_11,The wise guide the youth.,-0.9194,-0.9973,0.0779
Q_12,The tall reach the top.,-0.626,-0.6602,0.0342
Q_13,The swift win the race.,0.4355,0.4654,0.0299
Q_14,The elite control the market.,-0.7983,-0.8649,0.0666
Q_15,The dead haunt the castle.,-0.373,-0.3864,0.0134
Q_16,The hungry eat the bread.,0.5312,0.5774,0.0462
Q_17,The rich fund the charity.,0.8745,0.9434,0.0689
Q_18,The brave charge the enemy.,0.877,0.9334,0.0564
Q_19,The poor lack the resources.,0.4814,0.489,0.0076
Q_20,The bold dare the impossible.,0.9849,1.0,0.0151
Q_21,The innocent suffer the consequences.,-0.104,-0.1126,0.0086
Q_22,The guilty serve the sentence.,0.6377,0.6549,0.0172
Q_23,The free roam the plains.,0.8545,0.9314,0.0769
Q_24,The wild roam the forest.,0.8213,0.8711,0.0498
Q_25,The very profoundly deeply and incredibly extraordinarily faithful pure aggressively and continuously cleanse the eternal soul.,-0.6655,-0.6807,0.0152
Q_26,The horse raced past the barn fell.,-0.7578,-0.8693,0.1115
Q_27,The florist sent the flowers was pleased.,-0.4619,-0.4797,0.0178
Q_28,The student asked the question hesitated.,-0.2402,-0.2512,0.011
Q_29,The suspect interrogated by the police confessed.,-0.7256,-0.8003,0.0747
Q_30,The car driven past the house crashed.,-0.9185,-1.0,0.0815
Q_31,The athlete injured in the game cried.,0.4731,0.517,0.0439
Q_32,The man bitten by the dog howled.,-0.8315,-0.9308,0.0993
